Competition_Name,Gender,Country,Season_End_Year,Round,Wk,Day,Date,Time,Home,HomeGoals,Away,AwayGoals,Attendance,Venue,Referee,Notes,Home_xG,Away_xG
La Liga,M,ESP,2015,NA,1,Sat,2014-08-23,19:00,Málaga,1,Athletic Club,0,24500,Estadio La Rosaleda,Antonio Matéu Lahoz,NA,NA,NA
La Liga,M,ESP,2015,NA,1,Sat,2014-08-23,21:00,Granada,2,La Coruña,1,14800,Estadio Nuevo Los Cármenes,Iñaki Bikandi,NA,NA,NA
La Liga,M,ESP,2015,NA,1,Sat,2014-08-23,21:00,Sevilla,1,Valencia,1,29352,Estadio Ramón Sánchez Pizjuán,Carlos del Cerro,NA,NA,NA
La Liga,M,ESP,2015,NA,1,Sat,2014-08-23,23:00,Almería,1,Espanyol,1,12000,Estadio de los Juegos Mediterráneos,Alejandro Hernández,NA,NA,NA
La Liga,M,ESP,2015,NA,1,Sun,2014-08-24,19:00,Eibar,1,Real Sociedad,0,5173,Estadio Municipal de Ipurúa,Alfonso Álvarez,NA,NA,NA
La Liga,M,ESP,2015,NA,1,Sun,2014-08-24,21:00,Barcelona,3,Elche,0,68105,Camp Nou,Fernando Teixeira,NA,NA,NA
La Liga,M,ESP,2015,NA,1,Sun,2014-08-24,21:00,Celta Vigo,3,Getafe,1,20416,Estadio de Balaídos,Mario Melero,NA,NA,NA
La Liga,M,ESP,2015,NA,1,Sun,2014-08-24,23:00,Levante,0,Villarreal,2,19000,Estadio Ciudad de Valencia,David Fernández,NA,NA,NA
La Liga,M,ESP,2015,NA,1,Mon,2014-08-25,20:00,Real Madrid,2,Córdoba,0,70356,Estadio Santiago Bernabéu,Jesús Gil,NA,NA,NA
La Liga,M,ESP,2015,NA,1,Mon,2014-08-25,22:00,Rayo Vallecano,0,Atlético Madrid,0,11070,Estadio del Rayo Vallecano,Carlos Clos Gómez,NA,NA,NA
La Liga,M,ESP,2015,NA,2,Fri,2014-08-29,20:00,Getafe,1,Almería,0,6000,Coliseum Alfonso Pérez,Santiago Jaime,NA,NA,NA
La Liga,M,ESP,2015,NA,2,Fri,2014-08-29,22:00,Valencia,3,Málaga,0,41550,Estadio de Mestalla,Javier Estrada,NA,NA,NA
La Liga,M,ESP,2015,NA,2,Sat,2014-08-30,19:00,Córdoba,1,Celta Vigo,1,15982,Estadio Nuevo Arcángel,José Teixeira,NA,NA,NA
La Liga,M,ESP,2015,NA,2,Sat,2014-08-30,19:00,Athletic Club,3,Levante,0,48300,San Mamés,Pedro Pérez,NA,NA,NA
La Liga,M,ESP,2015,NA,2,Sat,2014-08-30,21:00,Atlético Madrid,2,Eibar,1,48000,Estadio Vicente Calderón,Eduardo Prieto,NA,NA,NA
La Liga,M,ESP,2015,NA,2,Sat,2014-08-30,23:00,Espanyol,1,Sevilla,2,16490,RCDE Stadium,Alberto Undiano,NA,NA,NA
La Liga,M,ESP,2015,NA,2,Sun,2014-08-31,19:00,Villarreal,0,Barcelona,1,21200,Estadio de la Cerámica,Carlos Velasco,NA,NA,NA
La Liga,M,ESP,2015,NA,2,Sun,2014-08-31,21:00,La Coruña,2,Rayo Vallecano,2,18054,Estadio Municipal de Riazor,José González,NA,NA,NA
La Liga,M,ESP,2015,NA,2,Sun,2014-08-31,21:00,Real Sociedad,4,Real Madrid,2,27879,Estadio Municipal de Anoeta,Juan Martínez,NA,NA,NA
La Liga,M,ESP,2015,NA,2,Sun,2014-08-31,23:00,Elche,1,Granada,1,20025,Estadio Manuel Martínez Valero,Ignacio Iglesias,NA,NA,NA
La Liga,M,ESP,2015,NA,3,Fri,2014-09-12,21:00,Almería,1,Córdoba,1,10682,Estadio de los Juegos Mediterráneos,Fernando Teixeira,NA,NA,NA
La Liga,M,ESP,2015,NA,3,Sat,2014-09-13,16:00,Barcelona,2,Athletic Club,0,80181,Camp Nou,David Fernández,NA,NA,NA
La Liga,M,ESP,2015,NA,3,Sat,2014-09-13,18:00,Málaga,0,Levante,0,20000,Estadio La Rosaleda,Jesús Gil,NA,NA,NA
La Liga,M,ESP,2015,NA,3,Sat,2014-09-13,20:00,Real Madrid,1,Atlético Madrid,2,85253,Estadio Santiago Bernabéu,Antonio Matéu Lahoz,NA,NA,NA
La Liga,M,ESP,2015,NA,3,Sat,2014-09-13,22:00,Celta Vigo,2,Real Sociedad,2,19385,Estadio de Balaídos,Alejandro Fernández,NA,NA,NA
La Liga,M,ESP,2015,NA,3,Sun,2014-09-14,12:00,Rayo Vallecano,2,Elche,3,9521,Estadio del Rayo Vallecano,Iñaki Bikandi,NA,NA,NA
La Liga,M,ESP,2015,NA,3,Sun,2014-09-14,17:00,Valencia,3,Espanyol,1,38500,Estadio de Mestalla,Carlos Clos Gómez,NA,NA,NA
La Liga,M,ESP,2015,NA,3,Sun,2014-09-14,19:00,Sevilla,2,Getafe,0,34600,Estadio Ramón Sánchez Pizjuán,Alfonso Álvarez,NA,NA,NA
La Liga,M,ESP,2015,NA,3,Sun,2014-09-14,21:00,Granada,0,Villarreal,0,21000,Estadio Nuevo Los Cármenes,Carlos del Cerro,NA,NA,NA
La Liga,M,ESP,2015,NA,3,Mon,2014-09-15,20:45,Eibar,0,La Coruña,1,4522,Estadio Municipal de Ipurúa,Mario Melero,NA,NA,NA
