Competition_Name,Gender,Country,Season_End_Year,Round,Wk,Day,Date,Time,Home,HomeGoals,Away,AwayGoals,Attendance,Venue,Referee,Notes,Home_xG,Away_xG
Ligue 1,M,FRA,2015,NA,1,Fri,2014-08-08,20:30,Reims,2,Paris S-G,2,18540,Stade Auguste-Delaune II,Stéphane Lannoy,NA,NA,NA
Ligue 1,M,FRA,2015,NA,1,Sat,2014-08-09,21:00,Lille,0,Metz,0,34327,Stade Pierre-Mauroy,Frédy Fautrel,NA,NA,NA
Ligue 1,M,FRA,2015,NA,1,Sat,2014-08-09,21:00,Guingamp,0,Saint-Étienne,2,16852,Stade du Roudourou,Mikael Lesage,NA,NA,NA
Ligue 1,M,FRA,2015,NA,1,Sat,2014-08-09,21:00,Nice,3,Toulouse,2,19474,Stade de Nice,Franck Schneider,NA,NA,NA
Ligue 1,M,FRA,2015,NA,1,Sat,2014-08-09,21:00,Nantes,1,Lens,0,27964,Stade de la Beaujoire - Louis Fonteneau,Sébastien Desiage,NA,NA,NA
Ligue 1,M,FRA,2015,NA,1,Sat,2014-08-09,21:00,Bastia,3,Marseille,3,15534,Stade Armand Césari,Lionel Jaffredo,NA,NA,NA
Ligue 1,M,FRA,2015,NA,1,Sat,2014-08-09,21:00,Montpellier,0,Bordeaux,1,15190,Stade de la Mosson,Wilfried Bien,NA,NA,NA
Ligue 1,M,FRA,2015,NA,1,Sat,2014-08-09,21:00,Evian,0,Caen,3,9915,Parc des Sports,Saïd Ennjimi,NA,NA,NA
Ligue 1,M,FRA,2015,NA,1,Sun,2014-08-10,17:00,Lyon,2,Rennes,0,27811,Matmut Stadium de Gerland,Benoît Millot,NA,NA,NA
Ligue 1,M,FRA,2015,NA,1,Sun,2014-08-10,21:00,Monaco,1,Lorient,2,13960,Stade Louis II.,Ruddy Buquet,NA,NA,NA
Ligue 1,M,FRA,2015,NA,2,Fri,2014-08-15,20:30,Caen,0,Lille,1,14353,Stade Michel d'Ornano,Sébastien Desiage,NA,NA,NA
Ligue 1,M,FRA,2015,NA,2,Sat,2014-08-16,17:00,Paris S-G,2,Bastia,0,45258,Parc des Princes,Amaury Delerue,NA,NA,NA
Ligue 1,M,FRA,2015,NA,2,Sat,2014-08-16,20:00,Lens,0,Guingamp,1,9512,Stade de la Licorne,Sébastien Moreira,NA,NA,NA
Ligue 1,M,FRA,2015,NA,2,Sat,2014-08-16,20:00,Rennes,6,Evian,2,17591,Roazhon Park,Olivier Thual,NA,NA,NA
Ligue 1,M,FRA,2015,NA,2,Sat,2014-08-16,20:00,Metz,1,Nantes,1,20335,Stade Saint-Symphorien,Alexandre Castro,NA,NA,NA
Ligue 1,M,FRA,2015,NA,2,Sat,2014-08-16,20:00,Lorient,0,Nice,0,13735,Stade Yves Allainmat - Le Moustoir,Saïd Ennjimi,NA,NA,NA
Ligue 1,M,FRA,2015,NA,2,Sat,2014-08-16,20:00,Toulouse,2,Lyon,1,13275,Stadium Municipal,Bartolomeu Varela,NA,NA,NA
Ligue 1,M,FRA,2015,NA,2,Sun,2014-08-17,17:00,Marseille,0,Montpellier,2,52902,Orange Vélodrome,Clément Turpin,NA,NA,NA
Ligue 1,M,FRA,2015,NA,2,Sun,2014-08-17,17:00,Saint-Étienne,3,Reims,1,33810,Stade Geoffroy-Guichard,Antony Gautier,NA,NA,NA
Ligue 1,M,FRA,2015,NA,2,Sun,2014-08-17,21:00,Bordeaux,4,Monaco,1,28285,Stade Jacques Chaban-Delmas,Tony Chapron,NA,NA,NA
Ligue 1,M,FRA,2015,NA,3,Fri,2014-08-22,20:30,Evian,0,Paris S-G,0,14600,Parc des Sports,Benoît Bastien,NA,NA,NA
