Competition_Name,Gender,Country,Season_End_Year,Round,Wk,Day,Date,Time,Home,HomeGoals,Away,AwayGoals,Attendance,Venue,Referee,Notes,Home_xG,Away_xG
Fußball-Bundesliga,M,GER,2015,Regular Season,1,Fri,2014-08-22,20:30,Bayern Munich,2,Wolfsburg,1,71000,Allianz Arena,Felix Zwayer,,NA,NA
Fußball-Bundesliga,M,GER,2015,Regular Season,1,Sat,2014-08-23,15:30,Köln,0,Hamburger SV,0,50000,RheinEnergieSTADION,Wolfgang Stark,,NA,NA
Fußball-Bundesliga,M,GER,2015,Regular Season,1,Sat,2014-08-23,15:30,Eint Frankfurt,1,Freiburg,0,46200,Commerzbank-Arena,Florian Meyer,,NA,NA
Fußball-Bundesliga,M,GER,2015,Regular Season,1,Sat,2014-08-23,15:30,Hertha BSC,2,Werder Bremen,2,56972,Olympiastadion Berlin,Thorsten Kinhöfer,,NA,NA
Fußball-Bundesliga,M,GER,2015,Regular Season,1,Sat,2014-08-23,15:30,Hoffenheim,2,Augsburg,0,23792,PreZero Arena,Tobias Stieler,,NA,NA
Fußball-Bundesliga,M,GER,2015,Regular Season,1,Sat,2014-08-23,15:30,Hannover 96,2,Schalke 04,1,49000,HDI-Arena,Peter Gagelmann,,NA,NA
Fußball-Bundesliga,M,GER,2015,Regular Season,1,Sat,2014-08-23,18:30,Dortmund,0,Leverkusen,2,80667,Signal Iduna Park,Deniz Aytekin,,NA,NA
Fußball-Bundesliga,M,GER,2015,Regular Season,1,Sun,2014-08-24,15:30,Paderborn 07,2,Mainz 05,2,14824,Benteler-Arena,Peter Sippel,,NA,NA
Fußball-Bundesliga,M,GER,2015,Regular Season,1,Sun,2014-08-24,17:30,M'Gladbach,1,Stuttgart,1,50203,Stadion im Borussia-Park,Christian Dingert,,NA,NA
Fußball-Bundesliga,M,GER,2015,Regular Season,2,Fri,2014-08-29,20:30,Augsburg,2,Dortmund,3,30660,WWK Arena,Knut Kircher,,NA,NA
Fußball-Bundesliga,M,GER,2015,Regular Season,2,Sat,2014-08-30,15:30,Hamburger SV,0,Paderborn 07,3,54452,Volksparkstadion,Bastian Dankert,,NA,NA
Fußball-Bundesliga,M,GER,2015,Regular Season,2,Sat,2014-08-30,15:30,Stuttgart,0,Köln,2,55000,Mercedes-Benz Arena,Felix Brych,,NA,NA
Fußball-Bundesliga,M,GER,2015,Regular Season,2,Sat,2014-08-30,15:30,Werder Bremen,1,Hoffenheim,1,38900,Weserstadion,Robert Hartmann,,NA,NA
Fußball-Bundesliga,M,GER,2015,Regular Season,2,Sat,2014-08-30,15:30,Leverkusen,4,Hertha BSC,2,27819,BayArena,Tobias Stieler,,NA,NA
Fußball-Bundesliga,M,GER,2015,Regular Season,2,Sat,2014-08-30,15:30,Wolfsburg,2,Eint Frankfurt,2,27528,Volkswagen Arena,Günter Perl,,NA,NA
Fußball-Bundesliga,M,GER,2015,Regular Season,2,Sat,2014-08-30,18:30,Schalke 04,1,Bayern Munich,1,61973,Veltins-Arena,Marco Fritz,,NA,NA
Fußball-Bundesliga,M,GER,2015,Regular Season,2,Sun,2014-08-31,15:30,Mainz 05,0,Hannover 96,0,27647,Opel Arena,Sascha Stegemann,,NA,NA
Fußball-Bundesliga,M,GER,2015,Regular Season,2,Sun,2014-08-31,17:30,Freiburg,0,M'Gladbach,0,24000,Schwarzwald-Stadion,Peter Gagelmann,,NA,NA
Fußball-Bundesliga,M,GER,2015,Regular Season,3,Fri,2014-09-12,20:30,Leverkusen,3,Werder Bremen,3,30210,BayArena,Christian Dingert,,NA,NA
Fußball-Bundesliga,M,GER,2015,Regular Season,3,Sat,2014-09-13,15:30,Dortmund,3,Freiburg,1,80200,Signal Iduna Park,Bastian Dankert,,NA,NA
Fußball-Bundesliga,M,GER,2015,Regular Season,3,Sat,2014-09-13,15:30,Hertha BSC,1,Mainz 05,3,42069,Olympiastadion Berlin,Guido Winkmann,,NA,NA
Fußball-Bundesliga,M,GER,2015,Regular Season,3,Sat,2014-09-13,15:30,Paderborn 07,0,Köln,0,14993,Benteler-Arena,Peter Gagelmann,,NA,NA
Fußball-Bundesliga,M,GER,2015,Regular Season,3,Sat,2014-09-13,15:30,Bayern Munich,2,Stuttgart,0,71000,Allianz Arena,Thorsten Kinhöfer,,NA,NA
Fußball-Bundesliga,M,GER,2015,Regular Season,3,Sat,2014-09-13,15:30,Hoffenheim,1,Wolfsburg,1,23813,PreZero Arena,Wolfgang Stark,,NA,NA
Fußball-Bundesliga,M,GER,2015,Regular Season,3,Sat,2014-09-13,18:30,M'Gladbach,4,Schalke 04,1,54010,Stadion im Borussia-Park,Felix Brych,,NA,NA
Fußball-Bundesliga,M,GER,2015,Regular Season,3,Sun,2014-09-14,15:30,Eint Frankfurt,0,Augsburg,1,43500,Commerzbank-Arena,Manuel Gräfe,,NA,NA
Fußball-Bundesliga,M,GER,2015,Regular Season,3,Sun,2014-09-14,17:30,Hannover 96,2,Hamburger SV,0,49000,HDI-Arena,Markus Schmidt,,NA,NA
Fußball-Bundesliga,M,GER,2015,Regular Season,4,Fri,2014-09-19,20:30,Freiburg,2,Hertha BSC,2,23600,Schwarzwald-Stadion,Florian Meyer,,NA,NA
Fußball-Bundesliga,M,GER,2015,Regular Season,4,Sat,2014-09-20,15:30,Augsburg,4,Werder Bremen,2,29044,WWK Arena,Marco Fritz,,NA,NA
Fußball-Bundesliga,M,GER,2015,Regular Season,4,Sat,2014-09-20,15:30,Stuttgart,0,Hoffenheim,2,44000,Mercedes-Benz Arena,Peter Sippel,,NA,NA
Fußball-Bundesliga,M,GER,2015,Regular Season,4,Sat,2014-09-20,15:30,Hamburger SV,0,Bayern Munich,0,57000,Volksparkstadion,Christian Dingert,,NA,NA
Fußball-Bundesliga,M,GER,2015,Regular Season,4,Sat,2014-09-20,15:30,Schalke 04,2,Eint Frankfurt,2,61798,Veltins-Arena,Markus Schmidt,,NA,NA
Fußball-Bundesliga,M,GER,2015,Regular Season,4,Sat,2014-09-20,15:30,Paderborn 07,2,Hannover 96,0,15000,Benteler-Arena,Knut Kircher,,NA,NA
Fußball-Bundesliga,M,GER,2015,Regular Season,4,Sat,2014-09-20,18:30,Mainz 05,2,Dortmund,0,34000,Opel Arena,Günter Perl,,NA,NA
Fußball-Bundesliga,M,GER,2015,Regular Season,4,Sun,2014-09-21,15:30,Wolfsburg,4,Leverkusen,1,27811,Volkswagen Arena,Deniz Aytekin,,NA,NA
Fußball-Bundesliga,M,GER,2015,Regular Season,4,Sun,2014-09-21,17:30,Köln,0,M'Gladbach,0,50000,RheinEnergieSTADION,Felix Zwayer,,NA,NA
Fußball-Bundesliga,M,GER,2015,Regular Season,5,Tue,2014-09-23,20:00,Werder Bremen,0,Schalke 04,3,40139,Weserstadion,Wolfgang Stark,,NA,NA
