Competition_Name,Gender,Country,Season_End_Year,Round,Wk,Day,Date,Time,Home,HomeGoals,Away,AwayGoals,Attendance,Venue,Referee,Notes,Home_xG,Away_xG
Serie A,M,ITA,2015,NA,1,Sat,2014-08-30,18:00,Chievo,0,Juventus,1,26000,Stadio Marc'Antonio Bentegodi,Carmine Russo,NA,NA,NA
Serie A,M,ITA,2015,NA,1,Sat,2014-08-30,20:45,Roma,2,Fiorentina,0,44353,Stadio Olimpico,Marco Guida,NA,NA,NA
Serie A,M,ITA,2015,NA,1,Sun,2014-08-31,18:00,Atalanta,0,Hellas Verona,0,14925,Stadio Atleti Azzurri d'Italia,Nicola Rizzoli,NA,NA,NA
Serie A,M,ITA,2015,NA,1,Sun,2014-08-31,18:00,Milan,3,Lazio,1,36674,Stadio Giuseppe Meazza,Nicola Rizzoli,NA,NA,NA
Serie A,M,ITA,2015,NA,1,Sun,2014-08-31,20:45,Udinese,2,Empoli,0,7889,Dacia Arena,Marco Di Bello,NA,NA,NA
Serie A,M,ITA,2015,NA,1,Sun,2014-08-31,20:45,Genoa,1,Napoli,2,21963,Stadio Comunale Luigi Ferraris,Luca Banti,NA,NA,NA
Serie A,M,ITA,2015,NA,1,Sun,2014-08-31,20:45,Cesena,1,Parma,0,14415,Stadio Dino Manuzzi,Sebastiano Peruzzo,NA,NA,NA
Serie A,M,ITA,2015,NA,1,Sun,2014-08-31,20:45,Sassuolo,1,Cagliari,1,11292,Stadio Città del Tricolore,Paolo Valeri,NA,NA,NA
Serie A,M,ITA,2015,NA,1,Sun,2014-08-31,20:45,Torino,0,Inter,0,25824,Stadio Olimpico di Torino,Daniele Doveri,NA,NA,NA
Serie A,M,ITA,2015,NA,1,Sun,2014-08-31,20:45,Palermo,1,Sampdoria,1,17064,Stadio Renzo Barbera,Dino Tommasi,NA,NA,NA
Serie A,M,ITA,2015,NA,2,Sat,2014-09-13,18:00,Empoli,0,Roma,1,11113,Stadio Carlo Castellani,Andrea Gervasoni,NA,NA,NA
Serie A,M,ITA,2015,NA,2,Sat,2014-09-13,20:45,Juventus,2,Udinese,0,38217,Allianz Stadium,Antonio Damato,NA,NA,NA
Serie A,M,ITA,2015,NA,2,Sun,2014-09-14,12:30,Sampdoria,2,Torino,0,21180,Stadio Comunale Luigi Ferraris,Paolo Mazzoleni,NA,NA,NA
Serie A,M,ITA,2015,NA,2,Sun,2014-09-14,15:00,Inter,7,Sassuolo,0,34549,Stadio Giuseppe Meazza,Giampaolo Calvarese,NA,NA,NA
Serie A,M,ITA,2015,NA,2,Sun,2014-09-14,15:00,Lazio,3,Cesena,0,31200,Stadio Olimpico,Massimiliano Irrati,NA,NA,NA
Serie A,M,ITA,2015,NA,2,Sun,2014-09-14,15:00,Fiorentina,0,Genoa,0,34058,Stadio Artemio Franchi,Daniele Orsato,NA,NA,NA
Serie A,M,ITA,2015,NA,2,Sun,2014-09-14,15:00,Cagliari,1,Atalanta,2,9100,Stadio Sant'Elia,Angelo Cervellera,NA,NA,NA
Serie A,M,ITA,2015,NA,2,Sun,2014-09-14,15:00,Napoli,0,Chievo,1,35251,Stadio San Paolo,Piero Giacomelli,NA,NA,NA
Serie A,M,ITA,2015,NA,2,Sun,2014-09-14,20:45,Parma,4,Milan,5,14264,Stadio Ennio Tardini,Davide Massa,NA,NA,NA
Serie A,M,ITA,2015,NA,2,Mon,2014-09-15,20:45,Hellas Verona,2,Palermo,1,18304,Stadio Marc'Antonio Bentegodi,Gianluca Rocchi,NA,NA,NA
Serie A,M,ITA,2015,NA,3,Sat,2014-09-20,18:00,Cesena,2,Empoli,2,14073,Stadio Dino Manuzzi,Claudio Gavillucci,NA,NA,NA
Serie A,M,ITA,2015,NA,3,Sat,2014-09-20,20:45,Milan,0,Juventus,1,78681,Stadio Giuseppe Meazza,Nicola Rizzoli,NA,NA,NA
Serie A,M,ITA,2015,NA,3,Sun,2014-09-21,12:30,Chievo,2,Parma,3,10000,Stadio Marc'Antonio Bentegodi,Antonio Damato,NA,NA,NA
Serie A,M,ITA,2015,NA,3,Sun,2014-09-21,15:00,Sassuolo,0,Sampdoria,0,12004,Stadio Città del Tricolore,Marco Di Bello,NA,NA,NA
Serie A,M,ITA,2015,NA,3,Sun,2014-09-21,15:00,Genoa,1,Lazio,0,18009,Stadio Comunale Luigi Ferraris,Marco Guida,NA,NA,NA
Serie A,M,ITA,2015,NA,3,Sun,2014-09-21,15:00,Roma,2,Cagliari,0,40977,Stadio Olimpico,Sebastiano Peruzzo,NA,NA,NA
Serie A,M,ITA,2015,NA,3,Sun,2014-09-21,18:00,Udinese,1,Napoli,0,8833,Dacia Arena,Paolo Tagliavento,NA,NA,NA
Serie A,M,ITA,2015,NA,3,Sun,2014-09-21,18:00,Atalanta,0,Fiorentina,1,15406,Stadio Atleti Azzurri d'Italia,Carmine Russo,NA,NA,NA
Serie A,M,ITA,2015,NA,3,Sun,2014-09-21,20:45,Torino,0,Hellas Verona,1,13405,Stadio Olimpico di Torino,Luca Banti,NA,NA,NA
Serie A,M,ITA,2015,NA,3,Sun,2014-09-21,20:45,Palermo,1,Inter,1,18292,Stadio Renzo Barbera,Paolo Valeri,NA,NA,NA
Serie A,M,ITA,2015,NA,4,Tue,2014-09-23,20:45,Empoli,2,Milan,2,12619,Stadio Carlo Castellani,Giampaolo Calvarese,NA,NA,NA
Serie A,M,ITA,2015,NA,4,Wed,2014-09-24,20:45,Cagliari,1,Torino,2,9400,Stadio Sant'Elia,Massimiliano Irrati,NA,NA,NA
Serie A,M,ITA,2015,NA,4,Wed,2014-09-24,20:45,Inter,2,Atalanta,0,29535,Stadio Giuseppe Meazza,Andrea Gervasoni,NA,NA,NA
Serie A,M,ITA,2015,NA,4,Wed,2014-09-24,20:45,Juventus,3,Cesena,0,36027,Allianz Stadium,Piero Giacomelli,NA,NA,NA
