competition_name,gender,country,season_end_year,squad,team_or_opponent,num_players,mins_per_90,tkl_tackles,tkl_w_tackles,def_3rd_tackles,mid_3rd_tackles,att_3rd_tackles,tkl_vs,att_vs,tkl_percent_vs,past_vs,press_pressures,succ_pressures,percent_pressures,def_3rd_pressures,mid_3rd_pressures,att_3rd_pressures,blocks_blocks,sh_blocks,sh_sv_blocks,pass_blocks,int,tkl_plus_int,clr,err
Premier League,M,ENG,2020,Arsenal,team,29,38,601,373,325,199,77,202,596,33.9,394,6127,1640,26.8,2245,2662,1220,614,153,2,461,244,845,978,14
Premier League,M,ENG,2020,Aston Villa,team,28,38,606,388,339,194,73,192,613,31.3,421,5837,1595,27.3,2133,2485,1219,725,213,4,512,254,860,983,29
Premier League,M,ENG,2020,Bournemouth,team,27,38,559,349,279,220,60,184,582,31.6,398,6790,1780,26.2,2224,2967,1599,703,176,3,527,288,847,1135,14
Premier League,M,ENG,2020,Brighton,team,25,38,663,409,339,237,87,214,644,33.2,430,5794,1743,30.1,2018,2419,1357,631,162,5,469,299,962,934,16
Premier League,M,ENG,2020,Burnley,team,22,38,583,340,264,239,80,204,612,33.3,408,5802,1482,25.5,1782,2535,1485,712,189,3,523,252,835,1234,5
Premier League,M,ENG,2020,Chelsea,team,27,38,739,449,351,296,92,217,626,34.7,409,6197,1916,30.9,1812,2841,1544,576,102,2,474,268,1007,930,9
Premier League,M,ENG,2020,Crystal Palace,team,25,38,733,430,393,264,76,260,678,38.3,418,6252,1698,27.2,2430,2645,1177,675,153,3,522,277,1010,999,13
Premier League,M,ENG,2020,Everton,team,24,38,739,423,369,267,103,245,736,33.3,491,6067,1659,27.3,2068,2639,1360,588,130,1,458,279,1018,1037,10
Premier League,M,ENG,2020,Leicester City,team,24,38,781,478,381,311,89,283,786,36,503,6392,1984,31,2112,2895,1385,601,107,2,494,309,1090,1013,13
Premier League,M,ENG,2020,Liverpool,team,24,38,606,375,225,258,123,212,607,34.9,395,5638,1813,32.2,1496,2346,1796,481,75,2,406,246,852,863,10
Premier League,M,ENG,2020,Manchester City,team,24,38,567,365,224,230,113,228,638,35.7,410,5003,1584,31.7,1187,2160,1656,444,74,3,370,227,794,655,19
Premier League,M,ENG,2020,Manchester Utd,team,29,38,618,359,292,245,81,207,626,33.1,419,5860,1650,28.2,1883,2616,1361,632,117,0,515,300,918,880,7
Premier League,M,ENG,2020,Newcastle Utd,team,28,38,672,393,413,198,61,225,622,36.2,397,5994,1524,25.4,2591,2401,1002,638,173,5,465,293,965,1133,11
Premier League,M,ENG,2020,Norwich City,team,30,38,716,434,419,219,78,253,776,32.6,523,6492,1779,27.4,2695,2609,1188,713,197,6,516,270,986,1039,16
