competition_name,gender,country,season_end_year,squad,team_or_opponent,num_players,mins_per_90,cmp_total,att_total,cmp_percent_total,tot_dist_total,prg_dist_total,cmp_short,att_short,cmp_percent_short,cmp_medium,att_medium,cmp_percent_medium,cmp_long,att_long,cmp_percent_long,ast,x_a,a_minus_x_a,kp,final_third,ppa,crs_pa,prog
Premier League,M,ENG,2020,Arsenal,team,29,38,16349,19802,82.6,321220,94865,6299,7029,89.6,7392,8306,89,2428,3776,64.3,35,29.9,5.1,285,1121,320,70,1240
Premier League,M,ENG,2020,Aston Villa,team,28,38,11530,15353,75.1,242867,87449,4292,4999,85.9,4958,5923,83.7,2084,3846,54.2,32,30.4,1.6,361,891,286,95,1034
Premier League,M,ENG,2020,Bournemouth,team,27,38,11943,15973,74.8,234473,86377,4779,5647,84.6,5158,6227,82.8,1773,3382,52.4,24,27.4,-3.4,267,900,258,53,1069
Premier League,M,ENG,2020,Brighton,team,25,38,15696,19549,80.3,317859,103840,5976,6845,87.3,7011,8038,87.2,2509,4013,62.5,24,26.5,-2.5,327,1091,310,85,1301
Premier League,M,ENG,2020,Burnley,team,22,38,9925,14227,69.8,203008,78549,4182,4902,85.3,3740,4775,78.3,1773,3907,45.4,30,27.2,2.8,263,778,208,78,814
Premier League,M,ENG,2020,Chelsea,team,27,38,20665,24532,84.2,404119,114240,8080,9028,89.5,9196,10285,89.4,3033,4405,68.9,46,46.2,-0.2,453,1482,429,105,1520
Premier League,M,ENG,2020,Crystal Palace,team,25,38,12142,15940,76.2,235605,89747,5127,5936,86.4,4899,5840,83.9,1819,3435,53,20,23.6,-3.6,253,861,256,57,1040
Premier League,M,ENG,2020,Everton,team,24,38,13239,17176,77.1,281798,100680,4698,5554,84.6,5951,6984,85.2,2403,3983,60.3,32,30.9,1.1,316,1033,297,85,1259
Premier League,M,ENG,2020,Leicester City,team,24,38,17329,21149,81.9,333434,103827,6970,7807,89.3,7766,8836,87.9,2322,3761,61.7,48,44,4,398,1237,323,84,1336
Premier League,M,ENG,2020,Liverpool,team,24,38,20887,25110,83.2,425217,125713,7701,8605,89.5,9515,10702,88.9,3383,5042,67.1,69,51.8,17.2,436,1734,501,101,1816
Premier League,M,ENG,2020,Manchester City,team,24,38,24266,27673,87.7,471127,125662,9543,10428,91.5,11061,12080,91.6,3369,4392,76.7,69,66.2,2.8,558,1916,598,96,2005
Premier League,M,ENG,2020,Manchester Utd,team,29,38,17542,21170,82.9,324919,97629,7733,8627,89.6,7370,8365,88.1,2155,3392,63.5,43,37,6,401,1362,353,53,1500
Premier League,M,ENG,2020,Newcastle Utd,team,28,38,10500,14206,73.9,217402,81724,4147,4810,86.2,4350,5309,81.9,1804,3514,51.3,29,23.2,5.8,293,762,188,67,754
Premier League,M,ENG,2020,Norwich City,team,30,38,14610,18286,79.9,270287,88230,6655,7458,89.2,5745,6622,86.8,1901,3446,55.2,18,26.1,-8.1,299,881,224,42,997
Premier League,M,ENG,2020,Sheffield Utd,team,26,38,12052,16407,73.5,243270,85855,5164,5949,86.8,4675,5733,81.5,1982,4008,49.5,25,31.5,-6.5,266,995,292,92,1059
Premier League,M,ENG,2020,Southampton,team,25,38,12481,16900,73.9,239345,84525,5388,6315,85.3,5106,6298,81.1,1711,3587,47.7,32,31.4,0.6,333,981,304,70,1118
Premier League,M,ENG,2020,Tottenham,team,29,38,15794,19704,80.2,306185,94530,6427,7257,88.6,6887,7937,86.8,2215,3787,58.5,39,30.8,8.2,327,1142,302,50,1281
Premier League,M,ENG,2020,Watford,team,26,38,11207,15409,72.7,221919,84872,4852,5744,84.5,4284,5334,80.3,1791,3640,49.2,21,28.2,-7.2,287,888,268,80,986
Premier League,M,ENG,2020,West Ham,team,29,38,12388,16488,75.1,240804,90754,5516,6384,86.4,4620,5666,81.5,1949,3610,54,36,31.8,4.2,318,972,259,85,1050
Premier League,M,ENG,2020,Wolves,team,21,38,14072,17895,78.6,297687,97790,5172,5988,86.4,6003,7071,84.9,2685,4175,64.3,34,32.3,1.7,327,1015,229,82,1080
Premier League,M,ENG,2020,vs Arsenal,opponent,29,38,13754,17221,79.9,274662,92749,5567,6276,88.7,5817,6717,86.6,2150,3558,60.4,30,35.8,-5.8,396,1088,314,84,1132
Premier League,M,ENG,2020,vs Aston Villa,opponent,28,38,15965,19746,80.9,313110,105065,6587,7411,88.9,6737,7716,87.3,2360,3862,61.1,44,44.3,-0.3,443,1301,419,85,1515
Premier League,M,ENG,2020,vs Bournemouth,opponent,27,38,16582,20748,79.9,330035,101757,6428,7342,87.6,7339,8433,87,2515,4216,59.7,45,38.4,6.6,395,1240,383,91,1422
Premier League,M,ENG,2020,vs Brighton,opponent,25,38,14228,18051,78.8,278474,89795,5930,6765,87.7,5918,6909,85.7,2146,3715,57.8,42,39,3,362,977,319,72,1154
Premier League,M,ENG,2020,vs Burnley,opponent,22,38,15724,20032,78.5,301686,97630,6571,7428,88.5,6674,7820,85.3,2181,3991,54.6,38,33.1,4.9,387,1052,367,94,1292
Premier League,M,ENG,2020,vs Chelsea,opponent,27,38,12299,16131,76.2,244270,85328,4992,5791,86.2,5159,6165,83.7,1926,3508,54.9,36,26,10,232,832,211,64,1000
Premier League,M,ENG,2020,vs Crystal Palace,opponent,25,38,15987,19852,80.5,317866,102400,6411,7253,88.4,6874,7948,86.5,2441,3906,62.5,36,35.5,0.5,379,1324,333,82,1375
Premier League,M,ENG,2020,vs Everton,opponent,24,38,14146,18039,78.4,287628,98805,5445,6259,87,6119,7083,86.4,2321,4009,57.9,39,32,7,309,1048,287,68,1187
Premier League,M,ENG,2020,vs Leicester City,opponent,24,38,12137,16041,75.7,239630,86858,5211,6049,86.1,4737,5768,82.1,1957,3525,55.5,26,28.7,-2.7,282,893,263,72,1040
Premier League,M,ENG,2020,vs Liverpool,opponent,24,38,10739,14771,72.7,213825,79860,4481,5226,85.7,4365,5391,81,1668,3529,47.3,23,29.1,-6.1,247,698,197,63,794
Premier League,M,ENG,2020,vs Manchester City,opponent,24,38,10688,14000,76.3,216048,73388,4244,4851,87.5,4558,5313,85.8,1705,3286,51.9,25,23,2,193,639,185,42,677
Premier League,M,ENG,2020,vs Manchester Utd,opponent,29,38,13013,16853,77.2,257046,87732,5414,6141,88.2,5323,6339,84,2030,3675,55.2,24,24.7,-0.7,266,935,222,53,1002
Premier League,M,ENG,2020,vs Newcastle Utd,opponent,28,38,19265,23041,83.6,378273,112896,7681,8580,89.5,8441,9478,89.1,2868,4290,66.9,38,39.8,-1.8,431,1609,385,88,1544
Premier League,M,ENG,2020,vs Norwich City,opponent,30,38,15279,19132,79.9,306782,99661,6038,6865,88,6446,7517,85.8,2513,3976,63.2,50,39.6,10.4,431,1320,450,99,1419
Premier League,M,ENG,2020,vs Sheffield Utd,opponent,26,38,17700,21964,80.6,353081,105180,6820,7712,88.4,7898,9059,87.2,2717,4493,60.5,28,34,-6,315,1165,268,60,1243
Premier League,M,ENG,2020,vs Southampton,opponent,25,38,13225,17773,74.4,268960,94558,5021,6018,83.4,5772,7089,81.4,2186,3885,56.3,41,34.4,6.6,317,1022,317,78,1204
Premier League,M,ENG,2020,vs Tottenham,opponent,29,38,14460,18298,79,291800,96958,5722,6528,87.7,6088,7090,85.9,2390,3959,60.4,27,33.8,-6.8,383,1180,314,89,1275
Premier League,M,ENG,2020,vs Watford,opponent,26,38,16730,20774,80.5,328087,101364,6776,7704,88,7228,8288,87.2,2472,4085,60.5,37,34.5,2.5,342,1310,309,69,1363
