competition_name,gender,country,season_end_year,squad,team_or_opponent,num_players,mins_per_90,gls_standard,sh_standard,so_t_standard,so_t_percent_standard,sh_per_90_standard,so_t_per_90_standard,g_per_sh_standard,g_per_so_t_standard,dist_standard,fk_standard,pk_standard,p_katt_standard,x_g_expected,npx_g_expected,npx_g_per_sh_expected,g_minus_x_g_expected,np_g_minus_x_g_expected
Premier League,M,ENG,2020,Arsenal,team,29,38,56,401,144,35.9,10.55,3.79,0.13,0.37,15.9,19,3,3,49.2,46.9,0.12,6.8,6.1
Premier League,M,ENG,2020,Aston Villa,team,28,38,40,453,146,32.2,11.92,3.84,0.09,0.27,16.9,17,1,3,40.1,37.7,0.08,-0.1,1.3
Premier League,M,ENG,2020,Bournemouth,team,27,38,38,384,116,30.2,10.11,3.05,0.09,0.29,16.4,21,4,4,42.7,39.7,0.11,-4.7,-5.7
Premier League,M,ENG,2020,Brighton,team,25,38,35,456,137,30,12,3.61,0.07,0.25,17.1,11,1,2,41.2,39.7,0.09,-6.2,-5.7
Premier League,M,ENG,2020,Burnley,team,22,38,41,384,124,32.3,10.11,3.26,0.1,0.31,15.7,17,3,3,43.9,41.6,0.11,-2.9,-3.6
Premier League,M,ENG,2020,Chelsea,team,27,38,69,619,210,33.9,16.29,5.53,0.1,0.3,16.2,27,7,7,66.6,61.7,0.1,2.4,0.3
Premier League,M,ENG,2020,Crystal Palace,team,25,38,29,372,116,31.2,9.79,3.05,0.07,0.22,16.5,15,3,3,34,31.9,0.09,-5,-5.9
Premier League,M,ENG,2020,Everton,team,24,38,42,465,155,33.3,12.24,4.08,0.09,0.26,15.7,20,1,1,49.3,48.5,0.11,-7.3,-7.5
Premier League,M,ENG,2020,Leicester City,team,24,38,65,533,181,34,14.03,4.76,0.11,0.33,16.7,20,5,7,61.6,56.2,0.11,3.4,3.8
Premier League,M,ENG,2020,Liverpool,team,24,38,83,585,222,37.9,15.39,5.84,0.13,0.35,16.1,18,5,5,71.5,67.7,0.12,11.5,10.3
Premier League,M,ENG,2020,Manchester City,team,24,38,100,730,246,33.7,19.21,6.47,0.13,0.38,15.8,27,6,11,93,84.6,0.12,7,9.4
Premier League,M,ENG,2020,Manchester Utd,team,29,38,65,528,200,37.9,13.89,5.26,0.1,0.28,18.5,33,10,14,59.4,48.8,0.1,5.6,6.2
Premier League,M,ENG,2020,Newcastle Utd,team,28,38,38,397,127,32,10.45,3.34,0.1,0.3,18.5,14,0,1,33.1,32.3,0.08,4.9,5.7
Premier League,M,ENG,2020,Norwich City,team,30,38,25,409,124,30.3,10.76,3.26,0.06,0.19,17.4,16,2,2,38,36.6,0.09,-13,-13.6
Premier League,M,ENG,2020,Sheffield Utd,team,26,38,36,353,109,30.9,9.29,2.87,0.1,0.32,14.7,4,1,1,41.5,40.8,0.12,-5.5,-5.8
Premier League,M,ENG,2020,Southampton,team,25,38,51,497,169,34,13.08,4.45,0.1,0.29,17.4,27,2,5,53.9,50,0.1,-2.9,-1
Premier League,M,ENG,2020,Tottenham,team,29,38,56,439,155,35.3,11.55,4.08,0.12,0.34,17.8,21,3,4,46.1,43,0.1,9.9,10
Premier League,M,ENG,2020,Watford,team,26,38,35,410,114,27.8,10.79,3,0.07,0.25,16.5,18,7,8,45.1,39.1,0.1,-10.1,-11.1
Premier League,M,ENG,2020,West Ham,team,29,38,49,414,157,37.9,10.89,4.13,0.11,0.29,15.6,13,4,4,46.2,43.2,0.11,2.8,1.8
Premier League,M,ENG,2020,Wolves,team,21,38,49,453,142,31.3,11.92,3.74,0.1,0.32,16.9,12,4,4,47.1,44.1,0.1,1.9,0.9
Premier League,M,ENG,2020,vs Arsenal,opponent,29,38,48,545,189,34.7,14.34,4.97,0.08,0.22,17.5,17,7,8,56.6,50.4,0.1,-8.6,-9.4
Premier League,M,ENG,2020,vs Aston Villa,opponent,28,38,66,602,175,29.1,15.84,4.61,0.1,0.35,16.1,21,5,6,65.9,61.3,0.11,0.1,-0.3
Premier League,M,ENG,2020,vs Bournemouth,opponent,27,38,65,546,182,33.3,14.37,4.79,0.11,0.33,17.3,15,5,6,57.5,53,0.1,7.5,7
Premier League,M,ENG,2020,vs Brighton,opponent,25,38,52,497,164,33,13.08,4.32,0.1,0.3,15.8,20,2,2,54.5,52.9,0.11,-2.5,-2.9
Premier League,M,ENG,2020,vs Burnley,opponent,22,38,49,535,159,29.7,14.08,4.18,0.08,0.28,17.5,21,4,5,48.3,44.5,0.08,0.7,0.5
Premier League,M,ENG,2020,vs Chelsea,opponent,27,38,51,316,115,36.4,8.32,3.03,0.16,0.43,16.2,15,2,2,37.9,36.4,0.12,13.1,12.6
Premier League,M,ENG,2020,vs Crystal Palace,opponent,25,38,48,507,169,33.3,13.34,4.45,0.09,0.28,16.7,23,0,1,51.3,50.6,0.1,-3.3,-2.6
Premier League,M,ENG,2020,vs Everton,opponent,24,38,53,427,145,34,11.24,3.82,0.12,0.34,16.5,23,3,4,48.4,45.4,0.11,4.6,4.6
Premier League,M,ENG,2020,vs Leicester City,opponent,24,38,39,367,126,34.3,9.66,3.32,0.08,0.25,17,21,8,10,44.5,37,0.11,-5.5,-6
Premier League,M,ENG,2020,vs Liverpool,opponent,24,38,32,340,107,31.5,8.95,2.82,0.09,0.29,16.7,5,1,1,40,39.3,0.12,-8,-8.3
Premier League,M,ENG,2020,vs Manchester City,opponent,24,38,34,274,107,39.1,7.21,2.82,0.11,0.29,16.2,18,3,3,34.7,32.9,0.12,-0.7,-1.9
Premier League,M,ENG,2020,vs Manchester Utd,opponent,29,38,35,385,125,32.5,10.13,3.29,0.08,0.26,17.3,23,3,3,37.4,35.2,0.09,-2.4,-3.2
Premier League,M,ENG,2020,vs Newcastle Utd,opponent,28,38,56,561,190,33.9,14.76,5,0.1,0.28,15.8,19,2,2,58.3,56.8,0.1,-2.3,-2.8
Premier League,M,ENG,2020,vs Norwich City,opponent,30,38,72,600,201,33.5,15.79,5.29,0.11,0.34,16,18,4,7,61.9,56.7,0.1,10.1,11.3
Premier League,M,ENG,2020,vs Sheffield Utd,opponent,26,38,39,430,141,32.8,11.32,3.71,0.09,0.27,17,23,1,3,47.9,45.6,0.11,-8.9,-7.6
Premier League,M,ENG,2020,vs Southampton,opponent,25,38,59,445,163,36.6,11.71,4.29,0.13,0.34,16,12,3,4,53.1,50,0.12,5.9,6
Premier League,M,ENG,2020,vs Tottenham,opponent,29,38,45,531,172,32.4,13.97,4.53,0.08,0.23,16.8,23,5,7,52,46.9,0.09,-7,-6.9
Premier League,M,ENG,2020,vs Watford,opponent,26,38,61,488,166,34,12.84,4.37,0.11,0.32,17.4,28,8,9,57.3,50.3,0.11,3.7,2.7
Premier League,M,ENG,2020,vs West Ham,opponent,29,38,59,493,178,36.1,12.97,4.68,0.11,0.3,15.7,13,5,6,61.1,56.5,0.12,-2.1,-2.5
Premier League,M,ENG,2020,vs Wolves,opponent,21,38,39,393,120,30.5,10.34,3.16,0.1,0.32,16.8,12,1,3,34.8,32.4,0.08,4.2,5.6
Premier League,M,ENG,2019,Arsenal,team,28,38,69,464,158,34.1,12.21,4.16,0.14,0.41,16.3,11,4,5,57.1,53.1,0.12,11.9,11.9
Premier League,M,ENG,2019,Bournemouth,team,28,38,55,434,152,35,11.42,4,0.11,0.32,16.5,14,7,9,53.3,46.4,0.11,1.7,1.6
Premier League,M,ENG,2019,Brighton,team,21,38,35,369,99,26.8,9.71,2.61,0.08,0.3,16.8,11,5,6,34.4,29.9,0.08,0.6,0.1
Premier League,M,ENG,2019,Burnley,team,23,38,43,360,114,31.7,9.47,3,0.11,0.36,15.1,15,2,2,41.9,40.4,0.12,1.1,0.6
Premier League,M,ENG,2019,Cardiff City,team,25,38,33,409,113,27.6,10.76,2.97,0.07,0.27,16.9,13,3,4,39.8,36.7,0.09,-6.8,-6.7
Premier League,M,ENG,2019,Chelsea,team,24,38,61,597,189,31.7,15.71,4.97,0.09,0.3,17.3,30,5,5,58.5,54.7,0.09,2.5,1.3
Premier League,M,ENG,2019,Crystal Palace,team,26,38,48,489,137,28,12.87,3.61,0.08,0.28,17,16,10,11,50.1,42.2,0.09,-2.1,-4.2
Premier League,M,ENG,2019,Everton,team,23,38,53,494,159,32.2,13,4.18,0.1,0.32,16.3,20,2,5,46.5,42.6,0.09,6.5,8.4
Premier League,M,ENG,2019,Fulham,team,28,38,33,438,138,31.5,11.53,3.63,0.07,0.22,18.3,10,2,3,39.7,37.4,0.09,-6.7,-6.4
Premier League,M,ENG,2019,Huddersfield,team,31,38,20,400,118,29.5,10.53,3.11,0.05,0.16,18.1,15,1,1,28.9,28.1,0.07,-8.9,-9.1
Premier League,M,ENG,2019,Leicester City,team,25,38,48,508,174,34.3,13.37,4.58,0.08,0.25,17.8,18,5,7,49.4,44.3,0.09,-1.4,-1.3
Premier League,M,ENG,2019,Liverpool,team,23,38,86,568,210,37,14.95,5.53,0.14,0.38,16.3,20,7,7,73.6,68.3,0.12,12.4,10.7
Premier League,M,ENG,2019,Manchester City,team,21,38,91,680,247,36.3,17.89,6.5,0.13,0.36,16.2,20,3,4,82,79,0.12,9,9
Premier League,M,ENG,2019,Manchester Utd,team,28,38,65,518,212,40.9,13.63,5.58,0.11,0.26,18.1,28,9,12,59.6,50.4,0.1,5.4,5.6
Premier League,M,ENG,2019,Newcastle Utd,team,24,38,41,433,136,31.4,11.39,3.58,0.09,0.29,18.2,17,1,3,38.8,36.5,0.09,2.2,3.5
Premier League,M,ENG,2019,Southampton,team,30,38,44,483,152,31.5,12.71,4,0.08,0.26,18.1,19,4,5,45.4,41.7,0.09,-1.4,-1.7
Premier League,M,ENG,2019,Tottenham,team,28,38,66,533,186,34.9,14.03,4.89,0.12,0.33,17.2,23,4,4,55.6,52.6,0.1,10.4,9.4
Premier League,M,ENG,2019,Watford,team,25,38,51,434,150,34.6,11.42,3.95,0.12,0.33,16.6,22,1,1,48,47.2,0.11,3,2.8
Premier League,M,ENG,2019,West Ham,team,26,38,51,437,149,34.1,11.5,3.92,0.11,0.31,16.5,17,5,5,49.1,45.4,0.11,1.9,0.6
Premier League,M,ENG,2019,Wolves,team,21,38,46,470,144,30.6,12.37,3.79,0.09,0.29,17.1,12,4,4,49.9,46.9,0.1,-3.9,-4.9
